article_id,article_v_id,rel
1114538,1140360.0,version
1114539,1140361.0,version
1114540,1140362.0,version
1114541,1140363.0,version
1114542,1140364.0,version
1114543,1140365.0,version
1114544,1140366.0,version
1114545,1140367.0,version
1114546,1140368.0,version
1114547,1140369.0,version
1114548,1140370.0,version
1114549,1140371.0,version
1114550,1140373.0,version
1114551,1140374.0,version
1114552,1140375.0,version
1114553,1140376.0,version
1114554,1140377.0,version
1114555,1140378.0,version
1114556,1140379.0,version
1114557,1140380.0,version
1114558,1140381.0,version
1114559,1140382.0,version
1114560,1140383.0,version
1114561,1140384.0,version
1114562,1140385.0,version
1114563,1140386.0,version
1114564,1140387.0,version
1114565,1140388.0,version
1114566,1140389.0,version
1114567,1140390.0,version
1114568,1140391.0,version
1114569,1140392.0,version
1114570,1140393.0,version
1114571,1140394.0,version
1114572,1140395.0,version
1114573,1140396.0,version
1114574,1140397.0,version
1114575,1140398.0,version
1114576,1140399.0,version
1114577,1140400.0,version
1114578,1140401.0,version
1114579,1140402.0,version
1114580,1140403.0,version
1114581,1140404.0,version
1114582,1140405.0,version
1114583,1140406.0,version
1114584,1140407.0,version
1114585,1140409.0,version
1114587,1140494.0,version
1114588,1140495.0,version
1114589,1140496.0,version
1114590,1140497.0,version
1114591,1140498.0,version
1114592,1140499.0,version
1114593,1140500.0,version
1114594,1140501.0,version
1114595,1140502.0,version
1114596,1140503.0,version
1114597,1140504.0,version
1114598,1140505.0,version
1114599,1140506.0,version
1114600,1140507.0,version
1114601,1140508.0,version
1114602,1140509.0,version
1114603,1140510.0,version
1114604,1140511.0,version
1114605,1140512.0,version
1114606,1140513.0,version
1114607,1140514.0,version
1114608,1140515.0,version
1114609,1140516.0,version
1114610,1140517.0,version
1114611,1140518.0,version
1114612,1140519.0,version
1114613,1140520.0,version
1114614,1140521.0,version
1114615,1140522.0,version
1114616,1140523.0,version
1114617,1140524.0,version
1114618,1140525.0,version
1114619,1140526.0,version
1114620,1140527.0,version
1114621,1140528.0,version
1114622,1140529.0,version
1114623,1140530.0,version
1114624,1140531.0,version
1114625,1140532.0,version
