id,date,year,month,day
5216,2011-04-28,2011,4,28
5217,2011-05-06,2011,5,6
5218,2011-05-05,2011,5,5
5219,2008-12-12,2008,12,12
5220,2012-01-20,2012,1,20
5221,2012-02-13,2012,2,13
5222,2012-04-20,2012,4,20
5223,2012-10-12,2012,10,12
5224,2012-11-09,2012,11,9
5225,2012-12-21,2012,12,21
5226,2013-03-22,2013,3,22
5227,2012-12-21,2012,12,21
5228,2013-11-22,2013,11,22
5229,2013-11-22,2013,11,22
5230,2013-12-13,2013,12,13
5231,2013-12-13,2013,12,13
5232,2013-11-29,2013,11,29
5233,2014-02-14,2014,2,14
5234,2014-02-14,2014,2,14
5235,2014-02-24,2014,2,24
5236,2014-05-06,2014,5,6
5237,2014-04-23,2014,4,23
5238,2014-05-09,2014,5,9
5239,2014-03-28,2014,3,28
5240,2014-07-17,2014,7,17
5241,2014-07-18,2014,7,18
5242,2014-07-17,2014,7,17
5243,2014-05-23,2014,5,23
5244,2014-12-16,2014,12,16
5245,2014-12-16,2014,12,16
5246,2014-12-19,2014,12,19
5247,2015-02-06,2015,2,6
5248,2015-03-27,2015,3,27
5249,2015-05-22,2015,5,22
5250,2015-07-03,2015,7,3
5251,2015-11-27,2015,11,27
5252,2015-12-11,2015,12,11
5253,2016-01-15,2016,1,15
5254,2016-01-15,2016,1,15
5255,2016-02-19,2016,2,19
5256,2016-02-19,2016,2,19
5257,2016-07-15,2016,7,15
5258,2016-11-25,2016,11,25
5259,2017-03-31,2017,3,31
5260,2017-07-07,2017,7,7
5261,2017-10-27,2017,10,27
5262,2017-11-17,2017,11,17
5263,2018-02-23,2018,2,23
5264,2018-04-27,2018,4,27
5265,2018-07-10,2018,7,10
5266,2019-02-22,2019,2,22
5267,2019-03-27,2019,3,27
5268,2018-12-14,2018,12,14
5269,1990-12-12,1990,12,12
5270,1992-06-25,1992,6,25
5271,1993-03-03,1993,3,3
5272,1995-03-08,1995,3,8
5273,1995-02-23,1995,2,23
5274,1987-09-02,1987,9,2
5275,1998-12-19,1998,12,19
5276,1999-06-22,1999,6,22
5277,1999-06-22,1999,6,22
5278,2003-07-18,2003,7,18
5279,2003-12-19,2003,12,19
5280,2004-02-13,2004,2,13
5281,2004-03-19,2004,3,19
5282,2004-04-02,2004,4,2
5283,2004-05-28,2004,5,28
5284,2004-05-28,2004,5,28
5285,2004-05-28,2004,5,28
5286,2004-06-04,2004,6,4
5287,2004-11-19,2004,11,19
5288,2005-05-27,2005,5,27
5289,2006-02-03,2006,2,3
5290,2006-03-31,2006,3,31
5291,2006-11-10,2006,11,10
5292,2008-07-10,2008,7,10
5293,2008-12-12,2008,12,12
