article_id,article_v_id,rel
1008863,1189168.0,version
1008864,1189169.0,version
1008865,1189170.0,version
1008866,1189171.0,version
1008867,1189172.0,version
1008868,1189173.0,version
1008869,1189174.0,version
1008870,1189175.0,version
1008871,1189176.0,version
1008872,1189177.0,version
1008873,1189178.0,version
1008874,1189179.0,version
1008875,1189180.0,version
1021878,1016746.0,version
1000030,1016821.0,version
1000032,1016823.0,version
1008841,1016843.0,version
1008843,1016845.0,version
1008844,1016846.0,version
1008845,1016847.0,version
1008853,1016855.0,version
1008855,1016857.0,version
1008856,1016858.0,version
1008857,1016859.0,version
1008885,1016888.0,version
1021877,1016893.0,version
1021881,1189586.0,version
1021882,1049736.0,version
1021883,1049737.0,version
1021884,1049738.0,version
1021885,1049739.0,version
1021886,1049740.0,version
1021887,1049741.0,version
1021888,1049742.0,version
1021889,1049743.0,version
1021890,1049744.0,version
1021891,1049745.0,version
1021904,1049746.0,version
1021905,1049747.0,version
1021908,1017011.0,version
1021909,1017012.0,version
1021911,1017014.0,version
1021915,1017018.0,version
1054301,1017019.0,version
1054305,1017023.0,version
1054306,1017024.0,version
1054307,1017025.0,version
1000028,1017057.0,version
1000035,1017064.0,version
1000036,1017065.0,version
1008827,1017067.0,version
1008828,1017068.0,version
1008829,1017069.0,version
1008830,1017070.0,version
1008831,1017071.0,version
1008832,1017072.0,version
1008834,1017074.0,version
1008835,1017075.0,version
1008837,1017077.0,version
1008840,1017080.0,version
1008842,1017082.0,version
1008843,1017083.0,version
1008846,1017086.0,version
1008847,1017087.0,version
1008851,1017091.0,version
1008854,1017094.0,version
1008855,1017095.0,version
1021874,1017129.0,version
1021887,1017146.0,version
1021904,1017152.0,version
1021905,1017153.0,version
1021906,1284420.0,version
1021911,1010820.0,version
1000040,1010821.0,version
1006461,1016314.0,version
1006466,1016315.0,version
1006471,1016316.0,version
1101076,1295216.0,version
1101077,1295217.0,version
1101078,1295218.0,version
1101079,1295219.0,version
1101082,1250473.0,version
1101083,1142332.0,version
1101084,1142333.0,version
1101085,1142334.0,version
1115822,1142335.0,version
1115823,1142336.0,version
1115824,1142337.0,version
1115825,1142338.0,version
1115826,1142339.0,version
1115827,1142340.0,version
1115828,1142341.0,version
1115829,1142342.0,version
1115830,1142343.0,version
1115831,1142344.0,version
1115834,1142404.0,version
1115835,1142405.0,version
1115838,1142407.0,version
1115839,1142408.0,version
1115840,1142409.0,version
1314797,1142410.0,version
1332856,1142411.0,version
1122573,1142412.0,version
1122574,1142413.0,version
1122575,1142414.0,version
1122576,1091270.0,version
1122577,1142415.0,version
1122578,1142416.0,version
1122580,1142417.0,version
1122581,1142418.0,version
