id,date
265,1996-10-31
266,1997-01-17
267,2002-03-29
268,1991-03-20
269,1994-05-30
270,1994-06-01
271,1993-12-15
272,1992-12-18
273,1994-12-21
274,1991-07-24
275,1986-12-23
276,1986-12-23
277,1991-03-20
278,1991-04-03
279,1989-12-20
280,1990-08-06
281,1989-09-06
282,1996-10-31
283,1997-01-17
284,2002-03-29
285,1991-03-20
286,1994-05-30
287,1994-06-01
288,1993-12-15
289,1992-12-18
290,1994-12-21
291,1991-07-24
292,1986-12-23
293,1986-12-23
294,1991-03-20
295,1991-04-03
296,1989-12-20
297,1990-08-06
298,1989-09-06
299,1996-10-31
300,1997-01-17
301,1923-05-31
302,2002-03-29
303,1991-02-06
304,1994-12-07
305,1989-03-23
306,1996-06-28
307,1998-04-06
308,1998-07-31
309,1998-02-10
310,1999-05-18
311,2001-12-14
312,2004-05-28
313,2005-07-01
314,1991-02-06
315,1989-03-23
316,1989-03-23
317,2007-10-12
318,2007-12-01
319,2008-04-18
320,2009-06-19
321,2011-02-25
322,2011-02-25
323,2014-04-25
324,2017-02-17
325,2023-05-05
326,1991-02-06
327,1984-03-22
328,1992-05-11
329,1985-03-27
330,1984-01-24
331,1995-06-01
332,1984-03-22
333,2002-06-28
334,2003-07-18
335,2004-04-02
336,2004-06-11
337,1997-06-02
338,2006-07-20
339,2006-12-22
340,2007-03-09
341,2007-09-07
342,1977-01-10
343,2008-06-06
344,2008-07-16
345,2008-10-10
346,2009-09-08
347,2010-05-21
348,2010-07-23
349,2013-02-08
350,2017-12-01
351,2021-11-30
352,2022-12-20
353,1991-02-06
354,1992-05-11
355,1991-12-04
356,1991-05-02
357,1991-03-20
358,1989-12-20
359,1990-02-14
360,1995-06-01
361,1996-12-03
362,1985-01-16
363,2002-06-28
364,2003-07-18
365,2004-04-02
366,2004-06-11
367,2006-03-10
368,2007-07-06
369,2007-07-13
370,2009-06-05
371,2009-11-30
372,2010-07-27
373,2010-10-06
374,2011-01-31
375,2011-07-27
376,2012-01-31
377,2012-02-10
378,2013-03-01
379,2012-08-30
380,2012-10-15
381,2012-10-15
382,2012-10-15
383,2012-10-15
384,2014-02-03
385,2014-05-09
386,2015-03-04
387,2017-05-05
388,2017-08-16
389,2018-02-28
390,1991-02-06
391,1992-05-11
392,1995-12-20
393,1991-02-06
394,1992-05-11
395,1995-12-20
396,1991-02-06
397,1992-05-11
398,1991-05-02
399,1995-06-01
400,1996-12-03
401,2004-10-01
402,2005-04-22
403,2005-09-23
404,2005-10-21
405,2006-12-22
406,2007-03-09
407,2007-09-07
408,2008-06-06
409,2008-07-16
410,2008-10-10
411,2009-09-08
412,2010-01-08
413,2010-03-26
414,2013-07-05
415,2014-02-21
416,2023-07-14
417,2024-02-23
418,1991-02-06
419,1981-07-02
420,1984-07-09
421,1994-06-16
422,1993-05-19
423,1984-12-19
424,1982-04-21
425,1982-04-21
426,1982-04-21
427,1982-04-21
428,1982-04-21
429,1982-04-21
430,1990-11-19
431,1992-05-11
432,1994-12-07
433,1995-02-22
434,1976-02-09
435,1989-09-12
436,1995-06-01
437,1995-05-24
438,1994-10-26
439,1989-07-28
440,1996-03-05
441,1998-12-07
442,1999-06-08
443,2000-03-17
444,1985-08-01
445,2001-04-20
446,1984-11-14
447,1983-06-20
448,2002-05-24
449,1982-03-11
450,2003-04-25
451,2003-04-25
452,2004-01-23
453,2004-01-23
454,2004-02-06
455,2004-03-05
456,2003-12-05
457,2004-04-02
458,2005-04-22
459,2005-07-18
460,2005-06-28
461,2006-12-22
462,2006-12-15
463,2007-03-20
464,2007-03-09
465,2007-04-25
466,2008-03-12
467,2008-06-06
468,2009-03-24
469,2010-03-10
470,2011-03-22
471,2003-01-10
472,2012-03-20
473,2013-03-13
474,2013-06-21
475,2014-05-06
476,2015-05-27
477,2016-05-19
478,2018-03-01
479,2019-03-25
480,2020-05-13
481,2021-04-27
482,2021-04-27
483,2022-05-23
484,2022-05-23
485,2023-06-14
486,2024-02-26
487,1991-02-06
488,1981-07-02
489,1984-07-09
490,1994-06-16
491,1993-05-19
492,1984-12-19
493,1982-04-21
494,1982-04-21
495,1982-04-21
496,1982-04-21
497,1982-04-21
498,1982-04-21
499,1990-11-19
500,1992-05-11
501,1994-12-07
502,1995-02-22
503,1976-02-09
504,1989-09-12
505,1995-06-01
506,1995-05-24
507,1994-10-26
508,1989-07-28
509,1996-03-05
510,1998-12-07
511,1999-06-08
512,2000-03-17
513,1985-08-01
514,2001-04-20
515,1984-11-14
516,1983-06-20
517,2002-05-24
518,1982-03-11
519,2003-04-25
520,2003-04-25
521,2004-01-23
522,2004-01-23
523,2004-02-06
524,2004-03-05
525,2003-12-05
526,2004-04-02
527,2005-04-22
528,2005-07-18
529,2005-06-28
530,2002-10-17
531,2007-02-16
532,2007-03-20
533,2007-12-03
534,2007-12-03
535,2008-01-11
536,2008-11-04
537,2009-01-16
538,2009-03-30
539,2010-01-12
540,2011-01-07
541,2010-12-06
542,2009-12-03
543,2010-12-17
544,2012-01-18
545,2011-12-23
546,1989-10-30
547,2003-01-10
548,2012-02-17
549,2012-05-08
550,2012-09-04
551,2012-09-04
552,2013-02-19
553,2013-06-21
554,2014-05-06
555,2014-05-22
556,2015-11-25
557,2015-11-18
558,2017-01-10
559,2018-02-06
560,2018-03-01
561,2018-09-06
562,2019-02-14
563,2019-12-16
564,2020-04-24
565,2020-12-16
566,2021-07-13
567,2022-04-01
568,2022-10-28
569,2022-07-15
570,2023-03-15
571,2021-07-13
572,2023-08-31
573,2023-12-19
574,2024-02-09
575,1991-02-06
576,1989-03-23
577,1993-07-28
578,1992-05-11
579,1995-06-01
580,1991-02-06
581,1993-07-28
582,1992-05-11
583,1995-06-01
584,1996-03-05
585,1996-12-19
586,1997-07-31
587,1998-10-06
588,1999-03-02
589,2000-10-13
590,2003-03-10
591,2004-03-19
592,2009-02-06
593,2012-06-29
594,1991-02-06
595,1985-06-28
596,1993-07-28
597,1992-05-11
598,1991-07-24
599,1995-06-01
600,1996-12-19
601,1997-03-20
602,1998-02-17
603,2000-03-03
604,2001-10-05
605,2003-03-10
606,2006-07-03
607,2009-02-06
608,1978-10-10
609,1961-02-14
610,1970-07-15
611,1978-08-05
612,2002-01-11
613,2003-01-31
614,2003-04-04
615,2003-04-04
616,2002-02-12
617,2003-09-05
618,1997-06-12
619,2003-10-10
620,1998-09-03
621,1994-06-06
622,2003-11-18
623,2003-09-05
624,2003-10-02
625,2003-12-12
626,2003-12-19
627,2004-02-06
628,2004-04-19
629,2004-04-02
630,2004-05-19
631,2004-05-19
632,2004-11-09
633,2004-10-01
634,2004-10-29
635,2004-12-03
636,2005-02-01
637,2005-02-18
638,2005-02-22
639,2000-12-15
640,2005-04-11
641,2005-06-08
642,2005-06-17
643,2005-06-03
644,2005-07-01
645,2005-10-07
646,2005-12-23
647,2006-05-11
648,2006-03-31
649,2006-05-19
650,2006-05-12
