ID,cluster,key_id,rel,key_name
1020865,318,1000124,keyword,archeologisch patrimonium
1012161,319,1000146,keyword,Toerisme Vlaanderen
1016235,320,1000175,keyword,presentiegeld
1006676,328,1000131,keyword,secundair onderwijs
1001610,351,1000031,keyword,KMO
1001610,351,1000032,keyword,kleine en middelgrote onderneming
1001610,351,1000078,keyword,Instituut voor Bosbouw en Wildbeheer
1001610,351,1000079,keyword,Instituut voor Natuurbehoud
1001610,351,1000081,keyword,lasten uit het verleden
1001610,351,1000082,keyword,schulden van het verleden
1001610,351,1000083,keyword,rechtsopvolging
1001610,351,1000127,keyword,Fonds voor preventie en sanering inz. leefmilieu en natuur
1001610,351,1000128,keyword,mina-fonds
1001610,351,1000134,keyword,openbaar psychiatrisch centrum
1001610,351,1000135,keyword,Openbaar Psychiatrisch Ziekenhuis
1001610,351,1000154,keyword,fonds
1001610,351,1000155,keyword,begrotingsfonds
1001610,351,1000156,keyword,bijzondere jeugdbijstand
1027781,355,1000103,keyword,dagverzorgingscentrum
1016969,356,1000168,keyword,cultureel en natuurlijk erfgoed
1000698,357,1000127,keyword,Fonds voor preventie en sanering inz. leefmilieu en natuur
1000698,357,1000128,keyword,mina-fonds
1013377,358,1000113,keyword,gemeentepersoneel
1013377,358,1000114,keyword,statuut gemeentepersoneel
1008446,364,1000133,keyword,intercommunale
1004712,379,1000165,keyword,kunstonderwijs
1017659,382,1000181,keyword,IWT
1000732,387,1000183,keyword,plan van aanleg
1000732,387,1000184,keyword,gewestplan
1005985,388,1000199,keyword,VIZO
1005985,388,1000200,keyword,Vlaams Instituut voor het Zelfstandig Ondernemen
1007101,389,1000009,keyword,huisvesting
1007101,389,1000077,keyword,Vlaamse Huisvestingsmaatschappij
1008625,391,1000122,keyword,Instituut voor het Archeologisch Patrimonium
1008625,391,1000195,keyword,delegatie
1009151,398,1000168,keyword,cultureel en natuurlijk erfgoed
1009151,398,1000194,keyword,monument
1004014,401,1000041,keyword,onderwijspersoneel
1004014,401,1000042,keyword,personeel onderwijs
1004014,401,1000043,keyword,personeel psycho-medisch-sociaal centrum
1004014,401,1000044,keyword,reaffectatie
1004014,401,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1004014,401,1000046,keyword,wachtgeld
1004014,401,1000047,keyword,wedertewerkstelling
1004014,401,1000048,keyword,statuut onderwijspersoneel
1004014,401,1000165,keyword,kunstonderwijs
1014617,403,1000157,keyword,bestuurlijk beleid
1014617,403,1000195,keyword,delegatie
1002451,407,1000065,keyword,gehandicapten
1029366,409,1000165,keyword,kunstonderwijs
1006319,410,1000195,keyword,delegatie
1029279,412,1000067,keyword,personen met een handicap
1002449,414,1000011,keyword,investeringsfonds
1002449,414,1000012,keyword,Vlaamse Gemeenschapscommissie
1002449,414,1000080,keyword,provincie
1002449,414,1000088,keyword,gemeente
1006522,416,1000179,keyword,basisonderwijs
1018873,420,1000181,keyword,IWT
1027804,438,1000115,keyword,Waterwegen en Zeekanaal
1009266,445,1000065,keyword,gehandicapten
1009266,445,1000066,keyword,mentaal gehandicapten
1009266,445,1000067,keyword,personen met een handicap
1009266,445,1000068,keyword,mindervaliden
1009266,445,1000118,keyword,VFSIPH
1009266,445,1000119,keyword,Vlaams Fonds Sociale Integratie Personen met een Handicap
1012062,446,1000030,keyword,economisch beleid
1009479,447,1000041,keyword,onderwijspersoneel
1009479,447,1000042,keyword,personeel onderwijs
1009479,447,1000043,keyword,personeel psycho-medisch-sociaal centrum
1009479,447,1000044,keyword,reaffectatie
1009479,447,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1009479,447,1000046,keyword,wachtgeld
1009479,447,1000047,keyword,wedertewerkstelling
1009479,447,1000048,keyword,statuut onderwijspersoneel
1009293,450,1000131,keyword,secundair onderwijs
1009293,450,1000163,keyword,buitengewoon onderwijs
1002876,453,1000146,keyword,Toerisme Vlaanderen
1018532,457,1000048,keyword,statuut onderwijspersoneel
1007701,465,1000056,keyword,arbeidsplaatsen
1007701,465,1000057,keyword,tewerkstelling
1007701,465,1000058,keyword,arbeidsvergunning
1007701,465,1000059,keyword,werkgelegenheid
1024952,474,1000050,keyword,VDAB
1016218,483,1000009,keyword,huisvesting
1027779,507,1000103,keyword,dagverzorgingscentrum
1001144,513,1000072,keyword,statuut openbare instellingen
1001144,513,1000143,keyword,ARGO
1001144,513,1000144,keyword,Autonome Raad voor het Gemeenschapsonderwijs
1001839,514,1000080,keyword,provincie
1001839,514,1000088,keyword,gemeente
1001839,514,1000194,keyword,monument
1013034,428,1000157,keyword,bestuurlijk beleid
1016267,525,1000129,keyword,Vlaamse Milieumaatschappij
1002766,526,1000131,keyword,secundair onderwijs
1004830,529,1000080,keyword,provincie
1004830,529,1000088,keyword,gemeente
1007925,532,1000053,keyword,studietoelage
1025555,544,1000042,keyword,personeel onderwijs
1029101,552,1000067,keyword,personen met een handicap
1013277,570,1000157,keyword,bestuurlijk beleid
1008096,573,1000145,keyword,Kind en Gezin
1008096,573,1000188,keyword,kinderdagverblijf
1008096,573,1000189,keyword,kinderopvang
1006181,576,1000080,keyword,provincie
1006181,576,1000088,keyword,gemeente
1014362,577,1000131,keyword,secundair onderwijs
1013742,581,1000072,keyword,statuut openbare instellingen
1013742,581,1000134,keyword,openbaar psychiatrisch centrum
1013742,581,1000135,keyword,Openbaar Psychiatrisch Ziekenhuis
1009647,585,1000131,keyword,secundair onderwijs
1007526,587,1000122,keyword,Instituut voor het Archeologisch Patrimonium
1000579,588,1000199,keyword,VIZO
1000579,588,1000200,keyword,Vlaams Instituut voor het Zelfstandig Ondernemen
1002079,596,1000131,keyword,secundair onderwijs
1001684,598,1000041,keyword,onderwijspersoneel
1001684,598,1000042,keyword,personeel onderwijs
1001684,598,1000043,keyword,personeel psycho-medisch-sociaal centrum
1001684,598,1000044,keyword,reaffectatie
1001684,598,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1001684,598,1000046,keyword,wachtgeld
1001684,598,1000047,keyword,wedertewerkstelling
1001684,598,1000048,keyword,statuut onderwijspersoneel
1013174,601,1000158,keyword,GIS
1013174,601,1000159,keyword,Geografisch Informatiesysteem
1015847,608,1000080,keyword,provincie
1015847,608,1000088,keyword,gemeente
1015618,610,1000009,keyword,huisvesting
1014982,623,1000065,keyword,gehandicapten
1014982,623,1000118,keyword,VFSIPH
1008678,626,1000131,keyword,secundair onderwijs
1008678,626,1000163,keyword,buitengewoon onderwijs
1000696,628,1000181,keyword,IWT
1005895,637,1000077,keyword,Vlaamse Huisvestingsmaatschappij
1018455,639,1000131,keyword,secundair onderwijs
1033907,646,1000131,keyword,secundair onderwijs
1018613,647,1000031,keyword,KMO
1018613,647,1000032,keyword,kleine en middelgrote onderneming
1000045,653,1000040,keyword,inspectie
1000045,653,1000041,keyword,onderwijspersoneel
1000045,653,1000042,keyword,personeel onderwijs
1000045,653,1000043,keyword,personeel psycho-medisch-sociaal centrum
1000045,653,1000044,keyword,reaffectatie
1000045,653,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1000045,653,1000046,keyword,wachtgeld
1000045,653,1000047,keyword,wedertewerkstelling
1000045,653,1000048,keyword,statuut onderwijspersoneel
1000045,653,1000049,keyword,pedagogische begeleidingsdienst
1004279,658,1000050,keyword,VDAB
1004279,658,1000051,keyword,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
1006128,666,1000065,keyword,gehandicapten
1006128,666,1000066,keyword,mentaal gehandicapten
1006128,666,1000067,keyword,personen met een handicap
1006128,666,1000068,keyword,mindervaliden
1006128,666,1000118,keyword,VFSIPH
1006128,666,1000119,keyword,Vlaams Fonds Sociale Integratie Personen met een Handicap
1020950,673,1000065,keyword,gehandicapten
1014601,677,1000057,keyword,tewerkstelling
1018405,678,1000100,keyword,statuut ambtenaar
1003179,685,1000041,keyword,onderwijspersoneel
1003179,685,1000042,keyword,personeel onderwijs
1003179,685,1000043,keyword,personeel psycho-medisch-sociaal centrum
1003179,685,1000044,keyword,reaffectatie
1003179,685,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1003179,685,1000046,keyword,wachtgeld
1003179,685,1000047,keyword,wedertewerkstelling
1003179,685,1000048,keyword,statuut onderwijspersoneel
1003179,685,1000143,keyword,ARGO
1003179,685,1000144,keyword,Autonome Raad voor het Gemeenschapsonderwijs
1014428,696,1000131,keyword,secundair onderwijs
1014428,696,1000179,keyword,basisonderwijs
1035020,698,1000102,keyword,centrum voor dagverzorging
1003315,706,1000050,keyword,VDAB
1003315,706,1000051,keyword,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
1010197,711,1000194,keyword,monument
1013937,712,1000011,keyword,investeringsfonds
1005463,722,1000160,keyword,diploma
1005463,722,1000161,keyword,getuigschrift
